id,title,author,genre,publishDate
101,Helen of Troy,Othilia Crosbie,Action|Adventure|Drama|Romance|War,12/15/2017
102,Alien Hunter,Isaac Roder,Action|Sci-Fi|Thriller,12/17/2018
103,Play the Game,Foster Bartolomeotti,Comedy|Romance,10/18/2015
104,The Nutcracker in 3D,Ned Tough,Action|Children|Fantasy|Musical,10/2/2020
105,Goldfish Memory,Stephan Hagstone,Comedy|Drama,2/11/2022
106,Lollilove,Silvan Brammar,Comedy,12/31/2020
107,"Pom Pom Girls, The",Feliza Wadlow,Comedy,4/12/2021
108,"Woodsman, The",Franzen McRuvie,Drama,7/8/2017
109,Cronos,Concordia Mussard,Drama|Horror,9/28/2015
110,"Green Pastures, The",Celinda Cheers,Drama,1/24/2021
111,"Revisionaries, The",Bailie Haggus,Documentary,4/11/2017
112,Tribute,Cam Badrick,Drama|Mystery|Romance,7/31/2021
113,Super Duper Alice Cooper,Gretna Mounsey,Documentary,10/31/2019
114,Bulldog Drummond Escapes,Durward Geraudy,Adventure|Mystery|Romance|Thriller,9/13/2018
115,Tennessee Johnson,Abba Abernethy,Drama,2/12/2022
116,Ratatouille,Cozmo Pellamonuten,Animation|Children|Drama,11/27/2015
117,Dedication,Standford Sawden,Comedy|Drama|Romance,10/20/2021
118,Two Solutions for One Problem (Dow Rahehal Baraye yek Massaleh),Yovonnda Soar,(no genres listed),1/6/2016
119,Natural City,Clary Butland,Action|Romance|Sci-Fi,3/25/2020
120,Tears of the Sun,Dorise Jzak,Action|Drama|Thriller,6/2/2021
121,Milk and Honey,Lucille Goudie,Drama,3/9/2017
122,Lilla Jönssonligan på styva linan,Sherry Wagen,(no genres listed),3/13/2020
123,"Winning Season, The",Merrielle Farady,Comedy,11/28/2021
124,Accidents Happen,Babara Warn,Comedy|Drama,2/27/2021
125,"Deep End, The",Ragnar Langmuir,Drama,6/3/2018
126,Christopher Columbus: The Discovery,Waylan McKerton,Adventure,12/1/2021
127,"Second Man, The (O Defteros Andras)",Rhianon Strangwood,Drama,9/11/2018
128,"Diving Bell and the Butterfly, The (Scaphandre et le papillon, Le)",Reynold Cratere,Drama,12/20/2019
129,Elle: A Modern Cinderella Tale,York Aubury,Children|Drama|Fantasy|Sci-Fi,1/18/2016
130,Anne of the Thousand Days,Peirce Twittey,Drama,3/16/2017
131,Stacy's Knights,Florinda Narup,Drama,4/24/2016
132,"Soupe aux Choux, La",Honor Hewes,Comedy,1/27/2020
133,Johnny Stecchino,Banky Manjot,Comedy,9/8/2015
134,Gone Fishin',Lemar Borwick,Comedy,2/19/2021
135,Norwegian Wood (Noruwei no mori),Demetria Brantl,Drama|Romance,10/9/2019
136,Day Is Done,Tony Daymont,Documentary,7/26/2022
137,Back in the Saddle (Back in the Saddle Again),Stacy Wills,Action|Drama|Western,5/2/2020
138,Wishmaster,Reube Arghent,Horror,8/28/2015
139,Black Bread (Pa Negre),Alessandra Sutheran,Drama,7/10/2018
140,Mighty Joe Young,Beck Stanyland,Adventure|Children|Drama,2/11/2017
141,Apache Territory ,Jamison Gayther,Action|Western,11/3/2020
142,Popular Music (Populärmusik från Vittula),Kelby Senussi,Comedy|Drama,2/16/2021
143,Distant Drums,Nikolia Tompion,Action|Romance|Western,8/4/2018
144,White Night (Hvid nat),Nobe Conlon,Drama,1/17/2022
145,David Cross: The Pride Is Back,Reuven Gwillyam,Comedy,4/30/2021
146,"Devil Rides Out, The",Sorcha Chetwynd,Horror,1/19/2022
147,Bubble,Reta Tillyer,Crime|Drama|Mystery,12/9/2018
148,Don't Make Waves,Mitchel Beville,Comedy,3/24/2017
149,"Samaritan, The",Aaren Jiroutka,Drama|Thriller,4/27/2020
150,Turkish Delight (Turks fruit),Rosalyn Millthorpe,Drama|Romance,11/2/2017
151,Bonsái,Raeann Stratiff,Drama,2/18/2022
152,Staten Island,Gav Evitts,Crime|Drama,11/18/2022
153,Cornered,Karissa Kuschek,Film-Noir|Thriller,4/8/2018
154,Uninvited Guest,Lexi Lloyd-Williams,Drama,8/6/2016
155,True Blue ,Luci Ickov,Crime|Drama|Thriller,2/14/2021
156,"Experts, The",Godfree Tynnan,Comedy,8/19/2018
157,21 and Over,Kacey Orwin,Comedy,1/2/2023
158,Gods and Monsters,Janella Ridding,Drama,11/16/2019
159,Twin Peaks: Fire Walk with Me,Floyd Hirth,Crime|Drama|Mystery|Thriller,4/2/2018
160,Little Witches,Pia Hellmer,Horror|Thriller,6/19/2016
161,Downloaded,Tim Denyukin,Documentary,3/21/2018
162,"Seducing Doctor Lewis (Grande séduction, La)",Jackqueline Whight,Comedy,11/14/2018
163,"Defender, The (a.k.a. Bodyguard from Beijing, The) (Zhong Nan Hai bao biao)",Ozzy Castella,Action,7/24/2015
164,Scusa ma ti chiamo amore,Bryanty Dyerson,Romance,2/9/2017
165,Abendland,Patty Eberle,Documentary,6/23/2021
166,Blame it on Fidel! (La faute à Fidel!),Kimball Pfeffel,Drama,5/1/2020
167,Heads,Maryann Batsford,Comedy|Crime,11/12/2017
168,Indiscretion of an American Wife (a.k.a. Terminal Station) (Stazione Termini),Coralie La Padula,Drama,12/2/2021
169,Harlem Nights,Crysta Stubbin,Comedy|Crime|Romance,12/21/2019
170,Mother of George,Hymie Troyes,Drama,8/11/2020
171,"Grave Decisions (Wer früher stirbt, ist länger tot)",Charity Trime,Comedy|Drama,2/5/2017
172,Cavalcade,Kelcie Pettipher,Drama|Romance|War,10/4/2017
173,"Phenix City Story, The",Vidovik Buxsy,Crime|Drama|Film-Noir,2/12/2021
174,Lorna's Silence (Le silence de Lorna),Kit Blore,Drama,12/17/2020
175,"Billy Blazes, Esq.",Mechelle Mattacks,Comedy|Western,12/11/2016
176,Silent Witness (Do Not Disturb),Worden Massenhove,Action|Comedy|Thriller,12/30/2020
177,Going Postal,Abra Rhucroft,Comedy|Fantasy,9/24/2015
178,Son of Lassie,Christel Caddy,Children|Drama,9/18/2015
179,Batch '81,Stanly Lemarie,Drama,8/25/2015
180,Spriggan (Supurigan),Raymund Dabnor,Action|Animation|Sci-Fi,8/8/2020
181,Flodder 3,Morgan Maffucci,Comedy,6/18/2016
182,Sunny (Sseo-ni),Dud Sheekey,Drama,9/2/2016
183,Waking Madison ,Odo Dekeyser,Drama,12/11/2019
184,A Chinese in a Coma,Anthia Dorre,Comedy,7/1/2016
185,Late Chrysanthemums (Bangiku),Ammamaria Rowth,Drama,3/13/2022
186,"Fox, The",Elyn MacClancey,Drama,4/22/2016
187,Chesty: A Tribute to a Legend,Alvie Sillito,Documentary,3/10/2017
188,Behind the Candelabra,Jone Armal,Drama,11/21/2021
189,Trapped,Joanna Draysay,Action|Thriller,8/31/2020
190,But Not for Me,Carlyle Duckham,Comedy|Romance,6/30/2019
191,"Nude Bomb, The",Bernarr Bailes,Comedy,11/15/2016
192,Squanto: A Warrior's Tale,Yorke Daffey,Adventure|Drama,3/23/2021
193,"Never Play Clever Again (Gendarme et les gendarmettes, Le)",Binni Jaimez,Comedy|Crime,3/8/2020
194,"Big Parade, The",Giustina Hiseman,Drama|Romance|War,3/24/2019
195,"Delivery, The",Brit Cleeves,Action|Adventure|Horror|Thriller,8/12/2015
196,Five Star Final,Nahum Wortley,Drama,3/6/2020
197,Charm's Incidents (Charms Zwischenfälle),Otha Folger,Drama,9/20/2022
198,"Inner Life of Martin Frost, The",Mellisent Skett,Comedy|Drama,2/15/2020
199,Animal House,Carleen Dimitru,Comedy,12/24/2020
200,The Black Devil,Melina Ivancevic,Comedy|Fantasy,1/12/2022
201,Ten Minutes Older: The Cello,Emylee Dodridge,Drama|Musical|Romance|Sci-Fi,10/14/2021
202,300: Rise of an Empire,Sheri Maddison,Action|Drama|War|IMAX,2/3/2021
203,Over My Dead Body,Brina Antonignetti,Comedy|Fantasy|Romance,2/23/2020
204,Penguin Pool Murder,Eddie Took,Comedy|Drama|Mystery|Romance,7/9/2019
205,Few of Us,Pietro Bertram,Drama,11/21/2015
206,Dead Fury,Janenna Jollie,Action|Animation|Comedy|Horror,1/20/2021
207,Bambou,Clarance Stilldale,Comedy,10/25/2015
208,Only Lovers Left Alive,Idette Balsdon,Drama|Horror|Romance,11/18/2021
209,Confidentially Connie,Mela Tilbury,Children|Comedy,12/9/2020
210,First Squad: The Moment of Truth,Milt Devereu,Action|Animation|Drama|War,11/9/2016
211,"Happiest Days of Your Life, The",Josephina Allawy,Comedy,4/19/2018
212,Anatomy (Anatomie),Marta Killock,Horror,3/23/2021
213,Rhyme & Reason,Dorita Chesnut,Documentary,4/9/2018
214,"Myth, The (San wa)",Kellyann Kennally,Action|Adventure|Comedy|Fantasy,12/31/2018
215,They Might Be Giants,Hurley Dreamer,Comedy|Mystery|Romance,10/29/2022
216,Kocken,Anneliese Hess,(no genres listed),11/25/2021
217,Project X,Lonnie Pletts,Comedy,3/12/2020
218,"Rose Tattoo, The",Dodie Castledine,Drama|Romance,3/18/2019
219,We Don't Live Here Anymore,Isabella Whiteford,Drama,7/25/2017
220,Beethoven's Big Break,Harmonie Herreran,Children|Comedy,7/11/2022
221,Safety Patrol,Zorina Chopy,(no genres listed),9/26/2016
222,Torremolinos 73,Maxy O'Brien,Comedy|Drama,3/4/2017
223,Stand by Me,Malanie Admans,Adventure|Drama,6/18/2017
224,"Fighting Prince of Donegal, The",Donnell Lesley,Action|Adventure,9/7/2016
225,U2 3D,Lutero Pollastrone,Documentary|IMAX,10/9/2019
226,Piranhaconda,Alec Hutchings,Horror|Sci-Fi,10/17/2021
227,Beyond the Forest,Vinson Abba,Drama|Film-Noir|Thriller,6/21/2020
228,Helen of Troy,Fara Thrussell,Action|Adventure|Drama|Romance|War,9/27/2020
229,Fados,Brook Sargison,Documentary|Musical,7/26/2018
230,The Gentleman from Epsom,Fletch Livingston,Comedy|Crime,8/13/2022
231,"To Have, or Not (En avoir (ou pas))",Adair Flott,Drama,7/12/2015
232,Piranha 3DD (a.k.a. Piranha DD),Rey Gouldbourn,Comedy|Horror,2/14/2023
233,Pokemon 4 Ever (a.k.a. Pokémon 4: The Movie),Ernst Genthner,Adventure|Animation|Children|Fantasy,12/29/2021
234,I Walked with a Zombie,Kendal Aldington,Drama|Horror,5/5/2017
235,Kes,Dorothee Sier,Drama,11/13/2021
236,Confessions of a Window Cleaner,Florinda Dane,Comedy,7/21/2022
237,Hands of the Ripper,Eldin Mellhuish,Horror|Thriller,1/3/2023
238,Barnens ö,Hew Ireland,Adventure|Children|Drama,12/26/2018
239,Die Frau des Frisörs,Netty Symcock,Drama,11/1/2020
240,"Crow: City of Angels, The",Adrianne Silvester,Action|Thriller,10/26/2017
241,Judge Dredd,Karylin Caramuscia,Action|Crime|Sci-Fi,11/28/2015
242,Hercules and the Amazon Women,Courtenay Tabbernor,Action|Adventure|Fantasy|Sci-Fi,6/7/2020
243,Dying of Laughter (Muertos de Risa),Cullan Semrad,Comedy,4/6/2019
244,"Humanité, L'",Renell Iacofo,Crime|Drama,7/31/2017
245,Cinematographer Style,Sherlocke Nuscha,Documentary,6/12/2021
246,Forced to Kill,Pattin Ormston,Action,4/19/2016
247,Naked Lunch,Ellsworth Gut,Drama|Fantasy|Mystery|Sci-Fi,4/24/2016
248,"Holcroft Covenant, The",Rahal Scutchings,Drama|Thriller,2/7/2021
249,"Rich, Young and Pretty",Nancey Keene,Comedy|Musical|Romance,4/14/2016
250,Soft Fruit,Jamal Worrill,Comedy|Drama,1/1/2020
251,"Sleeping Beauty, The (La belle endormie)",Inna Dessaur,Drama,10/9/2020
252,Cold Fish (Tsumetai nettaigyo),Bennie Daffey,Drama|Thriller,10/25/2019
253,The Importance of Being Earnest,Reta Allberry,Comedy|Romance,9/9/2017
254,Rent-A-Cop,Tamarah Lapwood,Action|Comedy|Crime,9/19/2018
255,Grateful Dead,Bobbye Leupold,Documentary,3/19/2022
256,Bertie and Elizabeth,Janaya Couvet,Drama,8/9/2019
257,Yeti: The Giant of the 20th Century,Casi Querree,Adventure|Fantasy,11/17/2022
258,Goal! The Dream Begins (Goal!),Killy Moral,Drama,9/3/2015
259,"Secret Lives of Dentists, The",Ardine Mazzey,Drama,9/19/2020
260,Mahoney's Last Stand,Iago Pena,Drama,7/17/2019
261,Heartbreak Hotel,Joane Binne,Comedy,12/27/2022
262,"Young Americans, The",Fredi Simonassi,Crime|Drama,6/4/2020
263,I Got the Hook Up,Estell Cottam,Comedy,9/24/2016
264,Left Luggage,Nora Stone,Drama,1/22/2019
265,"Train Robbers, The",Ottilie Janos,Western,2/23/2019
266,The Gentleman from Epsom,Clarence Andrivel,Comedy|Crime,10/6/2019
267,Appointment with Death,Corrina Hollier,Crime|Mystery,10/4/2021
268,Trauma,Amandy Spurgeon,Drama|Mystery|Thriller,12/25/2019
269,Angel Baby,Erek Snoxell,Drama,8/31/2017
270,Sharktopus vs. Pteracuda,Carleen Heaker,Sci-Fi,2/8/2021
271,God's Pocket,Jeremy Hay,Drama,10/4/2022
272,Single White Female 2: The Psycho,Pedro Shurman,Drama|Thriller,1/3/2022
273,Position Among The Stars (Stand van de Sterren),Corbie Logan,Documentary,11/4/2019
274,"Cube of Sugar, A (Ye Habe Ghand)",Fey Richemond,Comedy|Drama,11/9/2022
275,Drifting Clouds (Kauas pilvet karkaavat),Rogerio Rothchild,Comedy|Drama,3/24/2018
276,My Girlfriend Is an Agent (Chilgeup gongmuwon),Rockey Abarough,Action|Comedy|Romance,12/7/2021
277,"Final Destination, The (Final Destination 4) (Final Destination in 3-D, The)",Beatrix Ricker,Horror|Thriller,3/7/2022
278,Zatoichi's Pilgrimage (Zatôichi umi o wataru) (Zatôichi 14),Herold Corrado,Action|Drama,1/3/2022
279,Fool's Gold,Amalita Knudsen,Action|Adventure|Comedy|Romance,12/28/2022
280,"Foreigner, The",Drusi Fenners,Action|Thriller,12/19/2015
281,"Toxic Avenger, The",Perkin Sygrove,Comedy|Horror,1/25/2016
282,Devil Girl From Mars,Daniella Bown,Sci-Fi,4/7/2017
283,Chain Reaction,Deena Bryer,Action|Adventure|Thriller,3/15/2017
284,Just Pals,Jamal Haggish,Western,7/15/2020
285,Neo Ned,Anatol Sandall,Drama|Romance,1/27/2021
286,Feast II: Sloppy Seconds,Rowney Hurnell,Action|Comedy|Horror|Thriller,11/27/2022
287,"James Dean Story, The",Arthur Colleck,Documentary,3/28/2020
288,"New Kind of Love, A",Shay Muldoon,Comedy,2/16/2017
289,For Roseanna (Roseanna's Grave),Buck Earnshaw,Comedy|Drama|Romance,12/5/2020
290,Dark Victory,Forester Alleyne,Drama|Romance,3/11/2017
291,Life According to Sam,Annabal Louth,Documentary|Drama,1/9/2022
292,Leatherface: Texas Chainsaw Massacre III,Tristan Skade,Comedy|Horror|Thriller,2/27/2020
293,A Walk in the Old City of Warsaw,Loren Nashe,Documentary,3/16/2020
294,"Return of Jafar, The",Cassius Corss,Adventure|Animation|Children|Fantasy|Musical|Romance,4/28/2016
295,The Front,Sukey Beatson,Crime|Drama|Mystery,8/21/2018
296,Wild Tigers I Have Known,Brenna Morling,Drama,9/25/2015
297,Quatermass and the Pit,Rasia Keesman,Horror|Sci-Fi,6/17/2017
298,Hypocrites,Prentiss Greave,Drama|Fantasy,11/19/2017
299,Virtual JFK: Vietnam If Kennedy Had Lived,Stefan Cordaroy,Documentary,11/14/2017
300,Kika,Kaia Cornehl,Comedy|Drama,4/24/2020
301,Justice League: Throne of Atlantis,Kay Capeloff,Action|Animation,9/6/2017
302,I Never Sang for My Father,Jarrod Gribbin,Drama,5/12/2019
303,Piranhaconda,Dev Kennifick,Horror|Sci-Fi,2/8/2023
304,Kart Racer,Florry Besse,Drama,10/2/2016
305,Bastards of the Party,Wat Harkes,Documentary,12/20/2016
306,"Blackout, The",Melisande Fellnee,Drama,7/27/2018
307,Bride Wars,Neely Fazackerley,Comedy|Romance,5/5/2018
308,Inside Deep Throat,Christoffer Amaya,Documentary,5/18/2019
309,Bagdad Cafe (Out of Rosenheim),Jacquie Inge,Comedy|Drama,5/18/2020
310,"Machine, The",Maia Cragg,Sci-Fi|Thriller,8/5/2021
311,SuperBabies: Baby Geniuses 2,Hertha Lattin,Comedy,6/5/2018
312,Sinbad (Szindbád),Linus Drissell,Drama,1/1/2019
313,Stanley Kubrick's Boxes,Biddy Shilleto,Documentary,3/10/2016
314,Sisters (Syostry),Ricoriki Shillaker,Action|Crime|Drama,9/29/2017
315,"Patrik Age 1.5 (Patrik 1,5)",Eustace Noddings,Comedy|Drama|Romance,5/30/2018
316,Fearless Hyena II (Long teng hu yue),Robinett Lount,Action,6/13/2018
317,Rhapsody in August (Hachi-gatsu no kyôshikyoku),Juliann Abrahams,Drama,5/20/2021
318,Looking for Eric,Rhoda Vaney,Comedy|Drama|Fantasy,11/5/2018
319,Ong-Bak 3: The Final Battle (Ong Bak 3),Jackquelin Cicetti,Action,10/9/2016
320,Outcast of the Islands,Issy Yakuntzov,Adventure|Drama,5/24/2019
321,"Adventures of Ford Fairlane, The",Murry Palatino,Action|Comedy,8/30/2018
322,Across the Line: The Exodus of Charlie Wright,Parsifal Woolis,Crime|Drama,9/22/2018
323,Stuck ,Alexander Hymus,Documentary,2/24/2020
324,Against All Flags,Emelyne Oneile,Action|Adventure|Drama|Romance,6/7/2019
325,Tender Comrade,Nedi Caizley,Drama|Romance,1/13/2023
326,Life Back Then (Antoki no inochi),Bunnie Satcher,Drama|Romance,7/23/2022
327,Somm,Idette Di Matteo,Documentary,11/8/2016
328,After the Fox (Caccia alla volpe),Orren Niblett,Comedy|Crime,3/22/2016
329,New York Stories,Jeane Ibbett,Comedy|Drama,10/3/2022
330,Alpha and Omega 3: The Great Wolf Games,Jacquenette Duffrie,Action|Adventure|Animation|Children|Comedy,3/5/2020
331,Nowhere,Dominik Delion,Comedy|Drama,6/22/2020
332,Leningrad Cowboys Meet Moses,Ruth Venner,Adventure|Comedy,10/30/2016
333,Little Secrets,Jobie Guiton,Children|Comedy|Drama,1/23/2021
334,Masti,Isadora Cowing,Comedy,10/25/2021
335,Just Buried,Carlynn Zoane,Comedy|Drama|Romance,3/15/2020
336,Kimberly,Jo Wiper,Comedy|Romance,6/16/2018
337,Double Or Nothing,Pierre Van Dijk,(no genres listed),5/30/2017
338,Fool for Love,Marsha Waldock,Drama,8/10/2019
339,Hollywood Homicide,Aldo Passion,Action|Crime|Drama,11/8/2020
340,"Bolero (Uns et les autres, Les)",Adoree McMurdo,Drama|War,7/23/2019
341,Fanboys,Amery Haydock,Adventure|Comedy|Drama,7/16/2015
342,"Asthenic Syndrome, The (Astenicheskiy sindrom)",Caresse Gosneye,Drama,2/7/2018
343,Mouse Hunt,Vaughan Virgoe,Children|Comedy,3/16/2018
344,Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance),Ruthann Godwyn,Documentary,10/10/2019
345,Gamera vs. Viras ,Laraine Matchitt,Action|Sci-Fi,10/28/2019
346,Bela Kiss: Prologue,Rina Nelthorpe,Horror|Mystery|Thriller,9/16/2019
347,Deception,Travis Adami,Drama|Film-Noir|Thriller,1/5/2017
348,"Piece of the Action, A",Tatum Yabsley,Crime|Drama,11/22/2015
349,Dogville,Cinda Madine,Drama|Mystery|Thriller,8/14/2019
350,Rabbit Hole,Ike Wittke,Drama,2/3/2023
351,Mischief,Katherina Cahan,Comedy|Romance,11/15/2019
352,Lisztomania,Brear MacKerley,Comedy|Fantasy|Musical,1/7/2020
353,Price of Glory,Filberte Tasch,Drama,9/8/2019
354,Ransom,Cherri Comley,Crime|Thriller,12/23/2020
355,Black Dawn,Flore Plom,Action,9/13/2020
356,"Rose, The",Amargo Maase,Drama,6/2/2016
357,Avenue Montaigne (Fauteuils d'orchestre),Cornelia Coult,Comedy|Drama|Romance,5/16/2017
358,Dracula,Druci Minihane,Horror|Romance,1/9/2020
359,Lock Up,Kippar Dosdell,Action|Adventure|Crime|Drama|Thriller,12/30/2022
360,My Brother the Devil,Ursulina Bodemeaid,Drama,8/24/2019
361,When Night Is Falling,Lefty Woodus,Drama|Romance,6/26/2019
362,"Blue Gardenia, The",Elroy Sapena,Crime|Drama|Film-Noir|Thriller,4/16/2017
363,Break-in,Reynold Merryman,Comedy,10/11/2020
